"build","experimentName","subject","date","time","numTrialEachBlock","faceDuration","stimulusAndFeedbackGapDuration","ITI","blockNumber","blockName","faceName","trialCounter","responseName","responseTime","responseAndFeedbackCategory","isResponseCorrect","isFeedbackAccurate"
"6.4.2","Reversal_Task","550","2021-07-12","16:02:59","40","","500","2000","0","practice","","0","","","IRIF","-1","1"
"6.4.2","Reversal_Task","213690447","2021-07-23","10:27:46","40","","500","2000","0","practice","","0","","","CRIF","1","-1"
"build","experimentName","subject","date","time","trial.presentation_left.response","trial.presentation_left.latency","trial.presentation_right.response","trial.presentation_right.latency","picture.Left.currentvalue","picture.Right.currentvalue","numTrialEachBlock","ITI","instructionIndex","practiceInstructionIndex","block_number","blockName","blockNumber","LeftStimSelected","RightStimSelected","percentTrialsCorrectFeedback_left","percentTrialsCorrectFeedback_right","responseAndFeedbackCategory","isThisTrialPractice","trialCounter","isResponseCorrect","isFeedbackAccurate","trial_number","numbercorrect","numberoftimesleft","numberoftimesright","rightleft","reversalnumber","totalearnings","centsearned"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","170","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","39","30","39","0","left","48","1.5","15"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","170","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","39","31","39","0","left","48","1.5","15.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","417","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","40","31","40","0","left","48","1.5","15.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","417","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","40","32","40","0","left","48","1.5","16"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","241","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","41","32","41","0","left","48","1.5","16"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","241","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","41","33","41","0","left","48","1.5","16.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","244","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","42","33","42","0","left","48","1.5","16.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","244","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","42","34","42","0","left","48","1.5","17"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","228","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","43","34","43","0","left","48","1.5","17"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","228","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","43","35","43","0","left","48","1.5","17.5"
